Module ID,Linked Variables,GUI Link,Threshold Link
5,TRNTY_DP_STATUS_DTS,102,1
5,SHST_DP_STATUS_DTS,112,8
5,FLSM_DP_STATUS_DTS,113,18
5,OROV_DP_STATUS_DTS,107,13
6,TRNTY_FLD_STATUS_DTS,102,4
6,SHST_FLD_STATUS_DTS,112,11
6,FLSM_FLD_STATUS_DTS,104,21
6,OROV_FLD_STATUS_DTS,115,16
7,TRNTY_Spill_STATUS_DTS,102,5
7,SHST_Spill_STATUS_DTS,112,12
7,FLSM_Spill_STATUS_DTS,104,22
7,OROV_Spill_STATUS_DTS,107,17
8,C100_MIF_STATUS_DTS,202,33
8,C3_MIF_STATUS_DTS,204,34
8,C5_MIF_STATUS_DTS,206,36
8,C112_MIF_STATUS_DTS,207,38
8,C114_MIF_STATUS_DTS,,39
8,C129_MIF_STATUS_DTS,208,40
8,C169_MIF_STATUS_DTS,,41
8,C200A_MIF_STATUS_DTS,,42
8,C203_MIF_STATUS_DTS,209,43
8,C223_MIF_STATUS_DTS,210,44
8,C9_MIF_STATUS_DTS,211,45
8,C303_MIF_STATUS_DTS,,46
9,Sutter_Weirs_Op_DTS,,
9,Yolo_Weirs_Op_DTS,212+213,
10,GP60_OverPump_STATUS_DTS,,
10,GP64_OverPump_STATUS_DTS,,
10,GP65_OverPump_STATUS_DTS,,
10,GP66_OverPump_STATUS_DTS,,
11,ANN_STATUS_DTS,303,
11,FX2_STATUS_DTS,303,
11,SX2_STATUS_DTS,303,
11,EI_STATUS_DTS,,
11,RV_STATUS_DTS,303,
11,OMR_STATUS_DTS,,
11,SJRIE_STATUS_DTS,,
11,DCC_STATUS_DTS,,
11,NDOI_STATUS_DTS,303,
12,CVP_COA_P_DIFF_DTS,,
12,SWP_COA_P_DIFF_DTS,,
13,SHORT_CVP_STATUS_DTS,? + 886,
13,SHORT_SWP_STATUS_DTS,861+862,
14,NOD_MB_STATUS_DTS,,
14,Delta_MB_STATUS_DTS,,
14,SOD_MB_STATUS_DTS,,
